event_date,facility_type,occupational_category_of_person_affected,aggressor,type_of_violence,primary_assault_description,primary_contributing_factors,severity_of_assault,emotional_and__or_psychological_impact,level_of_care_needed,response_action_taken,mha_facility_type,wpv_job_role,wpv_class_of_individual,wpv_event_type,wpv_type_of_violence_wpv,wpv_org_contributing_factors,wpv_psych_impact,injury_assessed_by,wpv_staff_immediate_action,event_month,event_year
2024-09-01,bc,<n/s>,inpatient,verbal,"gender / sexist comments; profane, lewd or aggressive language; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-01,bc,<n/s>,inpatient,physical,assault w/ bodily fluids; bitten; choked; grabbed; intimidation; scratched; threat of violence,<n/s>,moderate,mild - upset / angry / scared / humiliated,other (please specify),called code gray; de-escalation techniques utilized; mechanical restraint; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-01,bc,<n/s>,inpatient,physical,kneed,<n/s>,,<n/s>,<n/s>,mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-02,bc,<n/s>,inpatient,physical,assault w/ bodily fluids; bitten; hit w/ fist; intimidation; kicked; pushed; threat of violence,<n/s>,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; de-escalation techniques utilized; mechanical restraint; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,other,other,resident (ltc),verbal,screaming or yelling; threat of violence; unwelcome or offensive language/gestures,n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-03,bc,<n/s>,inpatient,physical,elbow to the face; pushed; threat of violence,<n/s>,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,other,"nurse (rn, lpn, lna)",outpatient,verbal,"intimidation; profane, lewd or aggressive language",n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-03,other,security,inpatient,physical,grabbed; hair pulling; scratched,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-02,other,security,inpatient,physical,grabbed; pushed; scratched,<n/s>,moderate,none - no emotional and/or psychological impact,ed,chemical restraint; de-escalation techniques utilized; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,bc,<n/s>,inpatient,physical,grabbed; hit w/ fist; pushed; scratched,<n/s>,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,bc,<n/s>,inpatient,physical,kicked,<n/s>,,<n/s>,<n/s>,called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-04,other,"nurse (rn, lpn, lna)",inpatient,physical,pushed; pushed w/ elbow into sternum,n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-04,scu,"nurse (rn, lpn, lna)",inpatient,physical,throwing silverware,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; intimidation; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,<n/s>,outpatient,verbal,screaming or yelling,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,allied health/technologist,inpatient,verbal,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,outpatient,verbal,saying threats verbally,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,other,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified security,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,"nurse (rn, lpn, lna)",outpatient,verbal,threat of violence,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,visitor,property damage/vandalism,aggression toward an inanimate object,<n/s>,,<n/s>,<n/s>,notified security,,,,,,,,,,2024-09,2024
2024-09-04,other,<n/s>,outpatient,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,<n/s>,outpatient,verbal,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,bc,<n/s>,inpatient,verbal,"profane, lewd or aggressive language; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-06,med/surg/inpatient,<n/s>,inpatient,physical,intimidation,<n/s>,,<n/s>,<n/s>,called code gray; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,<n/s>,inpatient,physical,grabbed,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,bc,<n/s>,inpatient,physical,hit w/ fist,<n/s>,severe,mild - upset / angry / scared / humiliated,<n/s>,called code gray; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-07,ed,<n/s>,inpatient,physical,scratched,<n/s>,moderate,none - no emotional and/or psychological impact,other (please specify),behavioral expectations reviewed; mechanical restraint; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-05,other,allied health/technologist,visitor,verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,<n/s>,,,,,,,,,,2024-09,2024
2024-09-08,other,security,resident (ltc),physical,intimidation; pushed,n/a or unknown,,<n/s>,<n/s>,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-08,bc,<n/s>,inpatient,physical,assault w/ bodily fluids; assault w/ weapon; bitten; scratched; threat of violence,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; mechanical restraint; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-09,other,<n/s>,outpatient,verbal,intimidation,<n/s>,,<n/s>,<n/s>,notified clinical physician resources; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-07,ed,<n/s>,outpatient,verbal,intimidation; screaming or yelling; threat of violence; unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-08,ed,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified security,,,,,,,,,,2024-09,2024
2024-09-07,other,<n/s>,visitor,verbal,"condescending; demanding; intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,med/surg/inpatient,<n/s>,inpatient,physical,threat of violence,<n/s>,moderate,mild - upset / angry / scared / humiliated,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-10,med/surg/inpatient,<n/s>,inpatient,physical,threw breakfast and bowl in the direction of the lna,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,<n/s>,outpatient,verbal,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; threat of violence",<n/s>,,<n/s>,<n/s>,called 911; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,allied health/technologist,inpatient,physical,slapped,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-10,bc,"nurse (rn, lpn, lna)",inpatient,physical,hit w/ fist; scratched,<n/s>,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,ed,behavioral expectations reviewed; called code gray; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-11,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-11,other,<n/s>,inpatient,physical,hit w/ fist; scratched,<n/s>,moderate,none - no emotional and/or psychological impact,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-11,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-12,other,<n/s>,inpatient,physical,grabbed; hit w/ fist; scratched; slapped,<n/s>,moderate,none - no emotional and/or psychological impact,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-11,other,<n/s>,outpatient,verbal,intimidation; racial / cultural comments; screaming or yelling,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-12,other,<n/s>,inpatient,physical,slapped,<n/s>,other,none - no emotional and/or psychological impact,other (please specify),de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,administration/support services,outpatient,verbal,"intimidation; profane, lewd or aggressive language; threat of violence; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,med/surg/inpatient,<n/s>,inpatient,verbal,intimidation,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,med/surg/inpatient,"nurse (rn, lpn, lna)",inpatient,verbal,intimidation,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,rehabilitation/therapy services,other,verbal,intimidation,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,allied health/technologist,outpatient,verbal,intimidation; unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language; weapon possession ; threatening lawsuit",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-13,other,<n/s>,outpatient,verbal,intimidation; threat of violence,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-11,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,bc,<n/s>,inpatient,physical,hit w/ fist,<n/s>,,<n/s>,<n/s>,called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-14,other,<n/s>,resident (ltc),verbal,screaming or yelling,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-15,bc,<n/s>,inpatient,property damage/vandalism,aggression toward an inanimate object,<n/s>,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray,,,,,,,,,,2024-09,2024
2024-09-15,other,<n/s>,inpatient,physical,hit w/ fist,<n/s>,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,ed,notified security,,,,,,,,,,2024-09,2024
2024-09-15,other,"nurse (rn, lpn, lna)",inpatient,verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-10,other,<n/s>,outpatient,verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,<n/s>,outpatient,verbal,intimidation; threat of violence,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,allied health/technologist,other,verbal,intimidation; threat of violence,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-16,other,"nurse (rn, lpn, lna)",visitor,verbal,"profane, lewd or aggressive language; screaming or yelling",n/a or unknown,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,<n/s>,inpatient,physical,hit w/ fist,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-06,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-17,bc,<n/s>,inpatient,physical,scratched,<n/s>,moderate,none - no emotional and/or psychological impact,other (please specify),seclusion,,,,,,,,,,2024-09,2024
2024-09-17,other,<n/s>,outpatient,verbal,"intimidation; profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-17,other,<n/s>,outpatient,verbal,racial / cultural comments,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
