event_date,facility_type,occupational_category_of_person_affected,aggressor,type_of_violence,primary_assault_description,primary_contributing_factors,severity_of_assault,emotional_and__or_psychological_impact,level_of_care_needed,response_action_taken,mha_facility_type,wpv_job_role,wpv_class_of_individual,wpv_event_type,wpv_type_of_violence_wpv,wpv_org_contributing_factors,wpv_psych_impact,injury_assessed_by,wpv_staff_immediate_action,event_month,event_year
2024-09-01,bc,unknown,inpatient,verbal,"gender / sexist comments; profane, lewd or aggressive language; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-01,bc,unknown,inpatient,physical,assault w/ bodily fluids; bitten; choked; grabbed; intimidation; scratched; threat of violence,unknown,moderate,mild - upset / angry / scared / humiliated,other (please specify),called code gray; de-escalation techniques utilized; mechanical restraint; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-01,bc,unknown,inpatient,physical,kneed,unknown,,unknown,unknown,mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-02,bc,unknown,inpatient,physical,assault w/ bodily fluids; bitten; hit w/ fist; intimidation; kicked; pushed; threat of violence,unknown,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; de-escalation techniques utilized; mechanical restraint; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,other,other,resident (ltc),verbal,screaming or yelling; threat of violence; unwelcome or offensive language/gestures,n/a or unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-03,bc,unknown,inpatient,physical,elbow to the face; pushed; threat of violence,unknown,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,other,"nurse (rn, lpn, lna)",outpatient,verbal,"intimidation; profane, lewd or aggressive language",n/a or unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-03,other,security,inpatient,physical,grabbed; hair pulling; scratched,unknown,,unknown,unknown,de-escalation techniques utilized; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-02,other,security,inpatient,physical,grabbed; pushed; scratched,unknown,moderate,none - no emotional and/or psychological impact,ed,chemical restraint; de-escalation techniques utilized; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,bc,unknown,inpatient,physical,grabbed; hit w/ fist; pushed; scratched,unknown,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-03,bc,unknown,inpatient,physical,kicked,unknown,,unknown,unknown,called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-04,other,"nurse (rn, lpn, lna)",inpatient,physical,pushed; pushed w/ elbow into sternum,n/a or unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-04,scu,"nurse (rn, lpn, lna)",inpatient,physical,throwing silverware,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,unknown,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; intimidation; unwelcome or offensive language/gestures",unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,unknown,outpatient,verbal,screaming or yelling,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-04,other,allied health/technologist,inpatient,verbal,unwelcome or offensive language/gestures,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
